,unit_link,lith_rank,lith1,lith2,lith3,lith4,lith5,low_lith,lith_form,lith_com
1563,VASkrt;0,Minor,Sedimentary,Clastic,Mudstone,Shale,,Shale,, 
1564,VASkrt;0,Minor,Sedimentary,Clastic,Sandstone,,,Sandstone,, 
1565,VASm;0,Major,Metamorphic,Metasedimentary,Metaclastic,Quartzite,,Quartzite,, 
1566,VASm;0,Minor,Sedimentary,Clastic,Conglomerate,,,Conglomerate,, 
1567,VASm;0,Major,Sedimentary,Clastic,Sandstone,Arenite,,Arenite,, 
1568,VASOe;0,Major,Igneous,Plutonic,Granitic,Granodiorite,,Granodiorite,, 
1569,VASOz;0,"Indeterminate, major",Sedimentary,Clastic,Sandstone,,,Sandstone ,,
1570,VASOz;0,"Indeterminate, major",Sedimentary,Clastic,Mudstone,Shale,,Shale ,,
1571,VASOz;0,"Indeterminate, major",Sedimentary,Clastic,Siltstone,,,Siltstone ,,
1572,VASOz;0,"Indeterminate, major",Sedimentary,Carbonate,Limestone,,,Limestone ,,
1573,VASOz;0,"Indeterminate, major",Sedimentary,Clastic,Mudstone,,,Mudstone ,,
1574,VASOz;0,"Indeterminate, major",Sedimentary,Clastic,Sandstone,Arenite,,Arenite ,,
1575,VASOz;0,"Indeterminate, major",Metamorphic,Metasedimentary,Metaclastic,Quartzite,,Quartzite ,,
1576,VAsp;0,Major,Unconsolidated,Fine-detrital,Clay,,,Clay ,,
1577,VAsp;0,Major,Unconsolidated,Coarse-detrital,Sand,,,Sand ,,
1578,VASz;0,"Indeterminate, major",Sedimentary,Clastic,Sandstone,,,Sandstone ,,
1579,VASz;0,"Indeterminate, major",Sedimentary,Clastic,Mudstone,Shale,,Shale ,,
1580,VASz;0,"Indeterminate, major",Sedimentary,Carbonate,Limestone,,,Limestone ,,
1581,VASz;0,"Indeterminate, major",Sedimentary,Clastic,Sandstone,Arenite,,Arenite ,,
1582,VASz;0,"Indeterminate, major",Sedimentary,Clastic,Conglomerate,,,Conglomerate ,,
1583,VATb1;0,Major,Unconsolidated,Coarse-detrital,Gravel,,,Gravel ,,
1584,VATb1;0,Minor,Unconsolidated,Fine-detrital,Silt,,,Silt, ,
1585,VATb1;0,Incidental,Unconsolidated,Fine-detrital,Clay,,,Clay, ,
1586,VATb1;0,Minor,Sedimentary,Coarse-detrital,Sand,,,Sand, ,
1587,VATb2;0,Major,Unconsolidated,Coarse-detrital,Sand,,,Sand, ,
1588,VATb2;0,Minor,Unconsolidated,Fine-detrital,Clay,,,Clay, ,
1589,VATb2;0,Minor,Unconsolidated,Fine-detrital,Silt,,,Silt, ,
1590,VATc;0,Major,Unconsolidated,Coarse-detrital,Sand,,,Sand, ,
1591,VATc;0,Minor,Unconsolidated,Fine-detrital,Clay,,,Clay, ,
1592,VATc;0,Minor,Unconsolidated,Fine-detrital,Silt,,,Silt, ,
1593,VAtd;0,Major,Unconsolidated,Fine-detrital,Clay,,,Clay,Terrace ,
1594,VAtd;0,Major,Unconsolidated,Coarse-detrital,Gravel,,,Gravel,Terrace ,
1595,VAtd;0,Major,Unconsolidated,Coarse-detrital,Sand,,,Sand,Terrace ,
1596,VATl;0,Major,Unconsolidated,Coarse-detrital,Sand,,,Sand, ,
1597,VATl;0,Major,Unconsolidated,Fine-detrital,Silt,,,Silt, ,
1598,VATl;0,Minor,Sedimentary,Carbonate,Limestone,,,Limestone, ,
1599,VATm;0,Major,Unconsolidated,Coarse-detrital,Sand,,,Sand, ,
1600,VATm;0,Major,Unconsolidated,Fine-detrital,Silt,,,Silt,, 
1601,VATm;0,Major,Unconsolidated,Fine-detrital,Clay,,,Clay,, 
1602,VATRbr;0,Major,Tectonite,Cataclasite,,,,Cataclasite,,breccia 
1603,VATRbr1;0,Major,Tectonite,Cataclasite,,,,Cataclasite,,breccia with mudstone clasts 
1604,VATRc;0,Major,Sedimentary,Clastic,Conglomerate,,,Conglomerate,,"Conglomerate, mixed clasts "
1605,VATRc1;0,Major,Sedimentary,Clastic,Conglomerate,,,Conglomerate,,conglomerate with limestone clasts 
1606,VATRc2;0,Major,Sedimentary,Clastic,Conglomerate,,,Conglomerate,,conglomerate with greenstone clasts 
1607,VATRc3;0,Major,Sedimentary,Clastic,Conglomerate,,,Conglomerate,,conglomerate with arkosic matrix 
1608,VATRcs;0,"Indeterminate, major",Sedimentary,Clastic,Sandstone,,,Sandstone,, 
1609,VATRcs;0,"Indeterminate, major",Sedimentary,Clastic,Siltstone,,,Siltstone,, 
1610,VATRcs;0,"Indeterminate, major",Sedimentary,Clastic,Mudstone,Shale,,Shale,, 
