,Point_Number,Geometry,Quad,Strike,Dip_Angle,Dip_Direct,Interlimb_angle,Vert_Exag,long,lat,Unnamed: 0,Symbol,geometry,Station,Anticline_ID,Latitude_Bins,Compass_direct,Interlimb_Angle,IA,Lat_bins
126,44,-077.43837153 40.46421930,Loysville,237.0,60.0,NW,,,-077.43837153,40.4642193,,,POINT (-77.43837153 40.4642193),,,,,,,"(40.0, 40.5]"
127,3,-081.06567113 36.99642285,Wytheville,57.0,36.0,SE,,,-081.06567113,36.99642285,,,POINT (-81.06567113 36.99642285),,,,,,,"(36.5, 37.0]"
128,3,-081.06889914 36.99531334,Wytheville,70.0,34.0,SE,,,-081.06889914,36.99531334,,,POINT (-81.06889914 36.99531334),,,,,,,"(36.5, 37.0]"
129,3,-081.07107181 36.99501885,Wytheville,67.0,36.0,SE,,,-081.07107181,36.99501885,,,POINT (-81.07107181 36.99501885),,,,,,,"(36.5, 37.0]"
130,3,-081.07539538 36.99298001,Wytheville,37.0,40.0,SE,,,-081.07539538,36.99298001,,,POINT (-81.07539538 36.99298001),,,,,,,"(36.5, 37.0]"
131,4,-080.92067986 37.30554747,Giles,67.0,34.0,SE,,,-080.92067986,37.30554747,,,POINT (-80.92067986 37.30554747),,,,,,,"(37.0, 37.5]"
132,4,-080.97711049 37.27808232,Giles,255.0,30.0,NW,,,-080.97711049,37.27808232,,,POINT (-80.97711049 37.27808232),,,,,,,"(37.0, 37.5]"
133,4,-080.96996765 37.27653270,Giles,89.0,35.0,SE,,,-080.96996765,37.2765327,,,POINT (-80.96996765 37.2765327),,,,,,,"(37.0, 37.5]"
134,4,-080.98441546 37.27769650,Giles,272.0,41.0,NW,,,-080.98441546,37.2776965,,,POINT (-80.98441546 37.2776965),,,,,,,"(37.0, 37.5]"
135,4,-080.97711049 37.27808232,Giles,,,,104.0,,-080.97711049,37.27808232,,,POINT (-80.97711049 37.27808232),,,,,,104.0,"(37.0, 37.5]"
136,4,-080.59522569 37.27376078,Giles,253.0,44.0,NW,,,-080.59522569,37.27376078,,,POINT (-80.59522569 37.27376078),,,,,,,"(37.0, 37.5]"
137,4,-080.58089790 37.28205394,Giles,65.0,41.0,SE,,,-080.58089790,37.28205394,,,POINT (-80.5808979 37.28205394),,,,,,,"(37.0, 37.5]"
